,Plot,RegionName,AverageDBH,Density,DBH_CV,Shannon,shan_Broadleaf,PD,PD_Broadleaf,FDis,FD_Broadleaf,MAT,MAP,SoilThickness,HumusLayerThickness,LitterThickness,Altitude,AGC,Age,Group,MaxDBH
1,1,Changde,11.4,1090,41.85 ,0.57062,0,451.87279,0,0.410592143,0,15.28667,1367.91663,50,4,3,6.49375384,19.48811,18,NA,22.7
2,2,Changde,10.3,1209,33.72 ,0.12046,0,325.05003,0,0,0,13.75167,1419.8833,60,2,2,6.11146734,10.49359,20,NA,19.6
3,3,Changde,8.1,1440,27.17 ,0,0,325.05003,0,0,0,15.53888999,1350.5,50,1,2,409.9999998,8.10858,25,1,13.2
4,4,Changde,9.7,896,32.25 ,0,0,325.05003,0,0,0,15.53888999,1350.5,50,1,2,409.9999998,9.31647,22,1,16
5,5,Changde,8.2,1396,27.21 ,0.13795,0,451.87279,0,0.164610996,0,15.73556,1336.73328,70,1,2,5.327876169,8.41224,15,NA,16.1
6,6,Changde,10.1,1918,33.39 ,0.2211,0,501.8094,0,0.208601436,0,17.08167,1269.26672,50,3,1,6.089044875,22.78254,28,NA,18.6
7,7,Zhangjiajie,7.8,299,45.74 ,0.37677,0,325.05003,0,0,0,12.14389,1515.34998,35,5,3,7.155396302,2.23645,4,NA,25.4
8,8,Changde,10.1,2396,24.59 ,0.03718,0,650.10006,135.912187,0,0,17.06556,1264.04993,65,10,5,5.225746674,21.28061,16,NA,16.7
9,9,Changde,9.9,1440,28.45 ,0.90146,0,938.08858,135.912186,1.208982316,0,15.17722,1398.1167,50,2,1,6.255750042,32.22675,25,NA,17.8
10,10,Yueyang,11.3,2090,29.67 ,0,0,325.05003,0,0,0,17.43444,1341.44995,60,2,3,4.189654742,28.84119,13,NA,17.4
11,11,Xiangxi,8.3,507,22.62 ,0,0,325.05003,0,0,0,13.61944,1495.15002,35,2,1,1263,2.41447,10,1,11.7
12,12,Yueyang,6.7,1552,20.77 ,0,0,325.05003,0,0,0,17.39667,1284.70007,50,2,1,4.110873864,3.80315,8,NA,11.3
13,13,Yueyang,5,664,10.98 ,0.89507,0,776.9228098,135.912187,0.494305805,0,17.42333,1379.09998,50,2,2,282.0000001,1.22468,3,1,8
14,14,Zhangjiajie,8.7,769,29.85 ,0.07158,0,325.05003,0,0,0,17.01333,1365.1167,40,5,5,7.003974137,15.43877,17,NA,16.1
