,Plot,RegionName,AverageDBH,Density,DBH_CV,Shannon,shan_Broadleaf,PD,PD_Broadleaf,FDis,FD_Broadleaf,MAT,MAP,SoilThickness,HumusLayerThickness,LitterThickness,Altitude,AGC,Age,Group,MaxDBH
1,1,Changde,10.75979381,1835.820896,34.11767582,0.669598179,0,451.872786,0,0.157711943,0,16.84305573,1262.150024,50,4,3,340,28.37319641,17,NA,19.2
2,2,Changde,5.973684211,1134.328358,11.9917688,0.768936475,0.950270539,891.083751,258.317278,1.098486292,1.478058363,16.14027786,1319.650024,50,1,2,550,0.866250986,5,NA,7.7
3,3,Changde,10.84745763,2746.268657,39.49049008,1.10310775,0.589002605,662.409211,135.912186,1.039088325,0,17.31944466,1228.166626,45,2,2,190,39.10477579,33,NA,21.4
4,4,Changde,9.33030303,567.1641791,13.04201,0.94213954,0,650.100055,135.912186,1.494913351,0,16.96388817,1266.483276,60,1,2,240,6.469712863,20,1,16.4
5,5,Changde,10.846875,1089.552239,42.14846947,1.29851749,1.03370055,1017.71873,248.613382,1.579630966,0.962501187,16.96527672,1258.199951,75,1,2,260,11.04812129,21,1,21.5
6,6,Changde,9.802649007,2328.358209,29.45621163,0.354078321,0.682908105,786.012243,271.824374,0.280924364,1.282558702,17.42777824,1238.366699,45,2,1,240,31.27192163,26,NA,17.6
7,7,Changde,13.26907216,1820.895522,43.90087604,1.158011571,0.403334497,762.801252,135.912187,0.421683219,0,17.30416679,1271.483276,35,3,1,315,59.12331226,35,NA,25.7
8,8,Zhangjiajie,9.431313131,2044.776119,40.23536948,0.631257663,0,451.872786,0,0.052090501,0,16.81111145,1320.333374,35,5,5,280,22.25148802,22,NA,21.4
9,9,Zhangjiajie,10.83111111,1358.208955,42.40168999,1.185133114,0,451.872786,0,1.063179918,0,14.67361069,1478.516602,50,1,2,950,14.37200105,16,NA,20.6
10,10,Zhangjiajie,12.93076923,552.238806,36.2625866,0.799122391,0,451.872786,0,0.36991112,0,15.71388912,1423.68335,50,1,2,560,12.77334224,21,1,20.9
11,11,Changde,9.745323741,2089.552239,31.75208218,0.042414732,0,325.050028,0,0,0,17.55416679,1265.550049,60,10,5,105,29.69242615,26,NA,21.1
12,12,Zhangjiajie,10.08,1671.641791,33.62856811,0.777462132,0,325.050028,0,0,0,15.48194408,1465.849976,45,5,3,1080,8.496334076,5,NA,17.9
13,13,Zhangjiajie,11.08518519,820.8955224,17.85509757,0.090876121,0,325.050028,0,0,0,17.47916603,1286.383301,35,5,5,150,14.00059837,19,NA,14.9
14,14,Changde,12.66233766,1194.029851,36.50736202,0.226632001,0,650.100056,135.912187,0.097745924,0,17.54166794,1283.283325,80,3,2,110,37.12027846,37,NA,22.4
15,15,Changde,11.0675,686.5671642,15.14858,0.618851039,0,650.100056,135.912187,0.529016856,0,17.31805611,1290.033325,85,10,5,150,11.28248786,28,1,18.8
16,16,Xiangxi,7.2,3388.059701,4.05534855,0,0,325.050028,0,0,0,13.58749962,1490.583252,12,1,1,1194,15.49559394,15,NA,7.2
17,17,Zhangjiajie,10.36,1582.089552,42.47165946,0.883347423,0,826.85943,0,0.26679159,0,16.45277786,1414.233398,30,1,2,420,19.61552603,16,NA,21
18,18,Zhangjiajie,9.112658228,1805.970149,35.68052328,0.751049267,0,650.100056,135.912187,0.278578232,0,17.18194389,1327.266602,50,2,1,210,14.533006,20,NA,18.2
19,19,Xiangxi,6.403030303,1522.38806,17.64117597,0.629501261,0,325.050028,0,0,0,16.65416718,1431.550049,25,2,2,560,1.742908558,11,1,9.4
20,20,Xiangxi,7.191304348,1402.985075,29.92480347,0.692920817,0,325.050028,0,0,0,15.14305592,1468.31665,35,2,3,742,4.014174924,15,1,15
21,21,Zhangjiajie,13.9122449,731.3432836,4.415432008,0,0,325.050028,0,0,0,16.95000076,1428.133301,20,3,3,480,22.74372874,18,NA,14
22,22,Zhangjiajie,13.16666667,985.0746269,41.3331128,0.908464123,0.598269589,650.100056,0,0.312307655,0,15.29861069,1472,40,1,2,650,30.09267624,24,NA,25.9
23,23,Zhangjiajie,10.34367816,1761.19403,30.00685399,1.06085007,0,451.872786,0,1.21137054,0,15.59166718,1458.966675,40,1,2,720,20.59135251,16,NA,19.7
24,24,Zhangjiajie,11.10380952,2208.955224,32.14856723,0.923916948,1.120950393,1026.995939,271.824374,0.516971694,1.074625186,16.52499962,1391.466675,50,5,5,390,32.62561784,22,NA,18.45
25,25,Xiangxi,9.565833333,2522.38806,42.01125969,1.573143271,1.521516945,1180.355227,539.3446,1.567496393,1.556359065,16.58889008,1428.033325,23,4,3,542,28.27343923,23,NA,21.16666667
26,26,Xiangxi,12.36133333,1507.462687,69.72528484,1.492830471,0.932073887,1085.748002,258.317278,0.845750426,1.162695763,16.18888855,1457.233276,100,5,3,620,74.3218344,50,2,43.2
27,27,Zhangjiajie,16.01666667,791.0447761,32.78238439,1.057586199,0,776.922814,0,1.240845523,0,14.71666622,1480.966675,70,5,5,890,15.57178293,20,NA,24
